transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1021301,HCA Mission Health Hospital *11.22.24 CONSOLIDATED F2*,2,Cust Info Not Found,Cust Info Not Found,Mission Urology McDowellPO #23767/601/1323,20084768,90374247,Invoice,4680,251.28,6,28080,27828.72
1/4/2023,Optilume Strictures,Uro,202301,1021279,The Methodist Health System,,1021279,The Methodist Health System,The Methodist HospitalAttn: Receiving M002968861,20077188,90374249,Invoice,0,112,0,0,-112
1/4/2023,Portascan 3D,Uro,202301,1021287,Dignity Health - CA,,1021287,Dignity Health - CA,Dignity HealthAttn: Rec Dock on 11th Street S332A,20069224,90374250,Invoice,0,0.81,0,0,-0.81
1/4/2023,Portascan 3D,Uro,202301,1021287,Dignity Health - CA,,1021287,Dignity Health - CA,Dignity HealthAttn: Rec Dock on 11th Street S332A,20069224,90374250,Invoice,0,1320,0,0,-1320
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1021341,MyMichigan Health,,1021341,MyMichigan Health,MyMich Medical Center MidlandAttn: Receiving,20164124,90374251,Invoice,2667,125.64,3,8001,7875.36
1/4/2023,Optilume Strictures,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant Health Inc.HIN# 361710I00NH MEDICAL PARK HOSPITAL,20073926,90374252,Invoice,4190,0,2,8380,8380
1/4/2023,Optilume Strictures,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant Health Inc.HIN# 361710I00NH MEDICAL PARK HOSPITAL,20073926,90374252,Invoice,0,402,0,0,-402
1/4/2023,Optilume Strictures,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant HealthAttn: Katie Helton PO3370408,20163348,90374254,Invoice,0,402,0,0,-402
1/4/2023,Optilume Strictures,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant HealthAttn: Katie Helton PO3370408,20163348,90374254,Invoice,0,56,0,0,-56
1/4/2023,Optilume Strictures,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant HealthAttn: Katie Helton PO3370408,20163348,90374254,Invoice,0,56,0,0,-56
1/4/2023,Incontinence MPQ,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant Health Inc.Attn: Receiving,20067437,90374255,Invoice,1338.6,126.18,3,4015.8,3889.62
1/4/2023,Incontinence MPQ,Uro,202301,1021590,Novant Health Inc.,,1021590,Novant Health Inc.,Novant Health Inc.Attn: Receiving,20067437,90374255,Invoice,90,33.6,3,270,236.4
1/4/2023,Optilume Strictures,Uro,202301,1021596,Northside Hospital,,1021596,Northside Hospital,Northside Hospital ForsythAttn: Receiving 6-2540644,20083564,90374256,Invoice,2095,0,1,2095,2095
1/4/2023,Optilume Strictures,Uro,202301,1021596,Northside Hospital,,1021596,Northside Hospital,Northside Hospital ForsythAttn: Receiving 6-2540644,20083564,90374256,Invoice,0,28,0,0,-28
1/4/2023,Optilume Strictures,Uro,202301,1021596,Northside Hospital,,1021596,Northside Hospital,Northside Hospital ForsythAttn: Receiving 6-2542027,20083564,90374257,Invoice,6285,0,3,18855,18855
1/4/2023,Optilume Strictures,Uro,202301,1021596,Northside Hospital,,1021596,Northside Hospital,Northside Hospital ForsythAttn: Receiving 6-2542027,20083564,90374257,Invoice,0,603,0,0,-603
1/4/2023,Optilume Strictures,Uro,202301,1021596,Northside Hospital,,1021596,Northside Hospital,Northside Hospital ForsythAttn: Receiving 6-2542027,20083564,90374257,Invoice,0,84,0,0,-84
1/4/2023,InjeTAK,Uro,202301,1021726,Memorial Care Health Services,,1021726,Memorial Care Health Services,MC Long Beach Medical CenterAttn: Receiving,20076462,90374259,Invoice,625,103,10,6250,6147
1/4/2023,Other Uro Dx Disposables,Uro,202301,1021787,Palo Alto Medical Foundation Health Care Division V# 33010,,1021787,Palo Alto Medical Foundation Health Care Division V# 33010,Palo Alto Medical Foundation PAMF-ALAMEDA DOCK OPS,20070379,90374261,Invoice,54,5.2,20,1080,1074.8
1/4/2023,InjeTAK,Uro,202301,1021925,Intermountain Healthcare,,1021925,Intermountain Healthcare,Intermountain HealthRiver Road CampusSt George Hospital RR,20073939,90374263,Invoice,1480,380,20,29600,29220
1/4/2023,InjeTAK,Uro,202301,1022115,Hospital Sisters Health System,,1022115,Hospital Sisters Health System,HSHS St Elizabeths HospitalAttn: Receving,20083991,90374265,Invoice,310,76,4,1240,1164
1/4/2023,T-Doc Catheters,Uro,202301,1022236,Scripps Health,,1022236,Scripps Health,Scripps HealthAttn: La Jolla Receiving,20081346,90374266,Invoice,1164,57.8,20,23280,23222.2
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1022236,Scripps Health,,1022236,Scripps Health,Scripps HealthAttn: La Jolla Receiving,20081346,90374266,Invoice,1778,83.76,2,3556,3472.24
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1022237,Sharp Healthcare,,1022237,Sharp Healthcare,Sharp Healthcare(San Diego CA)Sharp Rees-Stealy,20072560,90374267,Invoice,1638,83.76,2,3276,3192.24
1/4/2023,T-Doc Catheters,Uro,202301,1022361,Corewell Health,,1022361,Corewell Health,Spectrum Health Med GroupAttn: Receiving,20167546,90374270,Invoice,1623,111.6,30,48690,48578.4
1/4/2023,UDS Service Contracts,Uro,202301,1022439,Urology of St Louis,,1022439,Urology of St Louis,Urology of St LouisAttn: Accounts Payable,1022439,90374275,Invoice,201.67,0,1,201.67,201.67
1/4/2023,UDS Service Contracts,Uro,202301,1022439,Urology of St Louis,,1022439,Urology of St Louis,Urology of St LouisAttn: Accounts Payable,1022439,90374275,Invoice,186.54,0,1,186.54,186.54
1/4/2023,UDS Service Contracts,Uro,202301,1022439,Urology of St Louis,,1022439,Urology of St Louis,Urology of St LouisAttn: Accounts Payable,1022439,90374275,Invoice,161.33,0,2,322.66,322.66
1/4/2023,UDS Service Contracts,Uro,202301,1022439,Urology of St Louis,,1022439,Urology of St Louis,Urology of St LouisAttn: Accounts Payable,1022439,90374275,Invoice,239.48,0,11,2634.28,2634.28
1/4/2023,UDS Service Contracts,Uro,202301,1022439,Urology of St Louis,,1022439,Urology of St Louis,Urology of St LouisAttn: Accounts Payable,1022439,90374275,Invoice,39.31,0,2,78.62,78.62
1/4/2023,Optilume Strictures,Uro,202301,1022487,Sutter Health System Office,,1022487,Sutter Health System Office,Sutter Health Sacsierra RegionPH Receiving Dock 36001105211,20070977,90374277,Invoice,0,804,0,0,-804
1/4/2023,Other Uro Dx Equipment,Uro,202301,1022499,CHI - Common Spirit Health,,1022499,CHI - Common Spirit Health,"TRIHEALTH BETHESDA N HOSPITALSean KeenanCE, 01-1062729",20167278,90374278,Invoice,168,41.75,1,168,126.25
1/4/2023,T-Doc Catheters,Uro,202301,1022567,Jefferson Health,,1022567,Jefferson Health,Jefferson Health - Bluemie BldgAttn: Receiving,20083666,90374279,Invoice,2732,148.8,40,109280,109131.2
1/4/2023,Tubing,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Urology SawgrassAttn: Receiving,20084561,90374281,Invoice,844,84,50,42200,42116
1/4/2023,T-Doc Catheters,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Urology SawgrassAttn: Receiving,20084561,90374282,Invoice,642,71.6,10,6420,6348.4
1/4/2023,Other Uro Dx Disposables,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Urology SawgrassAttn: Receiving,20084561,90374282,Invoice,110,46.8,20,2200,2153.2
1/4/2023,Optilume Strictures,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Strong Memorial HospitalAttn: SH MPD U2664394-23,20073183,90374283,Invoice,2395,0,1,2395,2395
1/4/2023,Optilume Strictures,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Strong Memorial HospitalAttn: SH MPD U2664394-23,20073183,90374283,Invoice,0,201,0,0,-201
1/4/2023,Optilume Strictures,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Strong Memorial HospitalAttn: SH MPD U2664394-23,20073183,90374283,Invoice,0,28,0,0,-28
1/4/2023,Optilume Strictures,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Strong Memorial HospitalAttn: SH MPD U2664394-23,20073183,90374283,Invoice,0,151,0,0,-151
1/4/2023,Optilume Strictures,Uro,202301,1022826,University of Rochester,,1022826,University of Rochester,UR Med Strong Memorial HospitalAttn: SH MPD U2664394-23,20073183,90374283,Invoice,2395,0,1,2395,2395
1/4/2023,T-Doc Catheters,Uro,202301,1022837,University of Chicago Medicine,,1022837,University of Chicago Medicine,University of Chicago Medical CenterCOMER MANAGER OFFICE K-475MAIN DOCK,20079953,90374284,Invoice,1164,394,20,23280,22886
1/4/2023,Tubing,Uro,202301,1022837,University of Chicago Medicine,,1022837,University of Chicago Medicine,University of Chicago Medical CenterCOMER MANAGER OFFICE K-475MAIN DOCK,20079953,90374284,Invoice,220,24.1,10,2200,2175.9
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1022837,University of Chicago Medicine,,1022837,University of Chicago Medicine,UChicago Medicine River EastAttn: Receiving,20084938,90374285,Invoice,934,41.88,1,934,892.12
1/4/2023,Other Uro Dx Disposables,Uro,202301,1022848,University of Colorado Health,,1022848,University of Colorado Health,Memorial Health SystemAttn: Receiving,20167864,90374286,Invoice,108,18.9,10,1080,1061.1
1/4/2023,InjeTAK,Uro,202301,1022897,Beth Israel Lahey Health,,1022897,Beth Israel Lahey Health,Lahey Clinic BurlingtonAttn: Receiving,20075709,90374288,Invoice,1240,304,16,19840,19536
1/4/2023,Tubing,Uro,202301,1022954,GenesisCare,,1022954,GenesisCare,21st.Century Oncology LLCGS1 - Grand Strand Urology,20077166,90374290,Invoice,219,90.75,75,16425,16334.25
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1022954,GenesisCare,,1022954,GenesisCare,USS - Florida Urology SpecialistsAttn: Kristen Wildasin 10117P8112443,20069635,90374291,Invoice,660,41.88,1,660,618.12
1/4/2023,Other Uro Dx Equipment,Uro,202301,1022994,University of Missouri Healthcare,,1022994,University of Missouri Healthcare,"University of Missouri Health CenterAttn: Reed, Amber NicoleQuarterdeck Dock",20066963,90374292,Invoice,0,528.26,1,0,-528.26
1/4/2023,UDS Other Service & Repairs,Uro,202301,1022994,University of Missouri Healthcare,,1022994,University of Missouri Healthcare,"University of Missouri Health CenterAttn: Reed, Amber NicoleQuarterdeck Dock",20066963,90374292,Invoice,0,193.02,0,0,-193.02
1/4/2023,UDS Other Service & Repairs,Uro,202301,1022994,University of Missouri Healthcare,,1022994,University of Missouri Healthcare,"University of Missouri Health CenterAttn: Reed, Amber NicoleQuarterdeck Dock",20066963,90374292,Invoice,0,227.22,0,0,-227.22
1/4/2023,UDS Other Service & Repairs,Uro,202301,1022994,University of Missouri Healthcare,,1022994,University of Missouri Healthcare,"University of Missouri Health CenterAttn: Reed, Amber NicoleQuarterdeck Dock",20066963,90374292,Invoice,0,17.53,0,0,-17.53
